Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
24-Jan-25,Friday,January,2025,Q1,EQ,256.00,257.35,243.55,255.85,243.90,244.45,248.05,394.70,237.10,38379153.00,309282.00
23-Jan-25,Thursday,January,2025,Q1,EQ,263.50,267.40,253.60,262.80,255.00,255.85,258.65,394.70,237.10,26848859.00,196853.00
22-Jan-25,Wednesday,January,2025,Q1,EQ,261.70,263.60,254.05,260.10,263.30,262.80,259.45,394.70,237.10,19045792.00,177368.00
21-Jan-25,Tuesday,January,2025,Q1,EQ,276.00,277.50,258.40,275.70,259.95,260.10,265.97,394.70,237.10,25289898.00,240994.00
20-Jan-25,Monday,January,2025,Q1,EQ,279.00,280.00,271.15,279.00,275.80,275.70,274.84,394.70,237.10,15616628.00,142296.00
17-Jan-25,Friday,January,2025,Q1,EQ,280.00,281.30,275.70,276.80,278.75,279.00,278.33,394.70,237.10,12895002.00,114817.00
16-Jan-25,Thursday,January,2025,Q1,EQ,277.00,278.80,274.85,272.40,276.45,276.80,276.74,394.70,237.10,9804897.00,87981.00
15-Jan-25,Wednesday,January,2025,Q1,EQ,275.00,276.00,271.25,272.85,274.00,272.40,273.56,394.70,237.10,12932861.00,100879.00
14-Jan-25,Tuesday,January,2025,Q1,EQ,267.45,274.00,264.20,266.15,273.75,272.85,269.19,394.70,237.10,19834738.00,213089.00
13-Jan-25,Monday,January,2025,Q1,EQ,277.80,278.00,265.05,280.55,265.80,266.15,269.92,394.70,237.10,22870943.00,249112.00
10-Jan-25,Friday,January,2025,Q1,EQ,290.00,290.95,280.00,289.25,280.90,280.55,284.28,394.70,237.10,13906821.00,158135.00
09-Jan-25,Thursday,January,2025,Q1,EQ,298.50,298.50,288.80,298.60,289.85,289.25,292.52,394.70,237.10,15072307.00,140322.00
08-Jan-25,Wednesday,January,2025,Q1,EQ,300.50,300.85,296.25,299.15,298.35,298.60,298.48,394.70,237.10,10545440.00,88037.00
07-Jan-25,Tuesday,January,2025,Q1,EQ,298.00,301.00,297.25,296.70,299.00,299.15,299.59,394.70,237.10,8305881.00,87318.00
06-Jan-25,Monday,January,2025,Q1,EQ,307.70,308.45,295.25,307.45,296.35,296.70,300.14,394.70,237.10,15616967.00,212832.00
